id,device,timestamp,Device_ID,LOCATION_mAccuracy,LOCATION_mAltitude,LOCATION_mBearing,LOCATION_mDistance,LOCATION_mExtras_networkLocationSource,LOCATION_mExtras_networkLocationType,LOCATION_mHasAccuracy,LOCATION_mHasAltitude,LOCATION_mHasBearing,LOCATION_mHasSpeed,LOCATION_mInitialBearing,LOCATION_mLat1,LOCATION_mLat2,LOCATION_mLatitude,LOCATION_mLon1,LOCATION_mLon2,LOCATION_mLongitude,LOCATION_mProvider,LOCATION_mResults,LOCATION_mSpeed,LOCATION_mTime
4665c617-64f6-4eab-8288-6dc669bca77c-15,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
4665c617-64f6-4eab-8288-6dc669bca77c-15,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
4665c617-64f6-4eab-8288-6dc669bca77c-16,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786658,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362786658163
4665c617-64f6-4eab-8288-6dc669bca77c-16,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786658,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362786658163
4665c617-64f6-4eab-8288-6dc669bca77c-17,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786658,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362786658163
4665c617-64f6-4eab-8288-6dc669bca77c-17,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786658,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362786658163
4665c617-64f6-4eab-8288-6dc669bca77c-18,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786658,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362786658163
4665c617-64f6-4eab-8288-6dc669bca77c-18,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786658,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362786658163
4665c617-64f6-4eab-8288-6dc669bca77c-19,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786795,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786795532
4665c617-64f6-4eab-8288-6dc669bca77c-19,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786795,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786795532
4665c617-64f6-4eab-8288-6dc669bca77c-20,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786795,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786795532
4665c617-64f6-4eab-8288-6dc669bca77c-20,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786795,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786795532
4665c617-64f6-4eab-8288-6dc669bca77c-21,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786859,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786859385
4665c617-64f6-4eab-8288-6dc669bca77c-21,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786859,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786859385
4665c617-64f6-4eab-8288-6dc669bca77c-22,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786859,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786859385
4665c617-64f6-4eab-8288-6dc669bca77c-22,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786859,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362786859385
4665c617-64f6-4eab-8288-6dc669bca77c-23,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786990,cce1d58557e202ec,1822.0,0.0,0.0,0.0,cached,cell,True,False,False,False,0.0,0.0,0.0,49.2065376,0.0,0.0,-123.0882897,network,0.0,0.0,1362786990495
4665c617-64f6-4eab-8288-6dc669bca77c-23,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786990,cce1d58557e202ec,1822.0,0.0,0.0,0.0,cached,cell,True,False,False,False,0.0,0.0,0.0,49.2065376,0.0,0.0,-123.0882897,network,0.0,0.0,1362786990495
4665c617-64f6-4eab-8288-6dc669bca77c-24,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787011,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362787011212
4665c617-64f6-4eab-8288-6dc669bca77c-24,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787011,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207292,0.0,0.0,-123.06319210000001,network,0.0,0.0,1362787011212
4665c617-64f6-4eab-8288-6dc669bca77c-25,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787045,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362787045741
4665c617-64f6-4eab-8288-6dc669bca77c-25,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787045,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362787045741
4665c617-64f6-4eab-8288-6dc669bca77c-26,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787045,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362787045741
4665c617-64f6-4eab-8288-6dc669bca77c-26,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787045,cce1d58557e202ec,49.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2072713,0.0,0.0,-123.06323076666668,network,0.0,0.0,1362787045741
4665c617-64f6-4eab-8288-6dc669bca77c-27,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787105,cce1d58557e202ec,45.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207311675,0.0,0.0,-123.06322159999999,network,0.0,0.0,1362787105769
4665c617-64f6-4eab-8288-6dc669bca77c-27,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787105,cce1d58557e202ec,45.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207311675,0.0,0.0,-123.06322159999999,network,0.0,0.0,1362787105769
4665c617-64f6-4eab-8288-6dc669bca77c-28,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787105,cce1d58557e202ec,45.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207311675,0.0,0.0,-123.06322159999999,network,0.0,0.0,1362787105769
4665c617-64f6-4eab-8288-6dc669bca77c-28,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787105,cce1d58557e202ec,45.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.207311675,0.0,0.0,-123.06322159999999,network,0.0,0.0,1362787105769
4665c617-64f6-4eab-8288-6dc669bca77c-29,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787165,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787165782
4665c617-64f6-4eab-8288-6dc669bca77c-29,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787165,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787165782
4665c617-64f6-4eab-8288-6dc669bca77c-30,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787165,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787165782
4665c617-64f6-4eab-8288-6dc669bca77c-30,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787165,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787165782
4665c617-64f6-4eab-8288-6dc669bca77c-31,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787225,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787225764
4665c617-64f6-4eab-8288-6dc669bca77c-31,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787225,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787225764
4665c617-64f6-4eab-8288-6dc669bca77c-32,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787225,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787225764
4665c617-64f6-4eab-8288-6dc669bca77c-32,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787225,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787225764
4665c617-64f6-4eab-8288-6dc669bca77c-33,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787296,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787296197
4665c617-64f6-4eab-8288-6dc669bca77c-33,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787296,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787296197
4665c617-64f6-4eab-8288-6dc669bca77c-34,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787296,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787296197
4665c617-64f6-4eab-8288-6dc669bca77c-34,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787296,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787296197
4665c617-64f6-4eab-8288-6dc669bca77c-35,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787355,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787355757
4665c617-64f6-4eab-8288-6dc669bca77c-35,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787355,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787355757
4665c617-64f6-4eab-8288-6dc669bca77c-36,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787355,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787355757
4665c617-64f6-4eab-8288-6dc669bca77c-36,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787355,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787355757
4665c617-64f6-4eab-8288-6dc669bca77c-37,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787415,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787415758
4665c617-64f6-4eab-8288-6dc669bca77c-37,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787415,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787415758
4665c617-64f6-4eab-8288-6dc669bca77c-38,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787415,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787415758
4665c617-64f6-4eab-8288-6dc669bca77c-38,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787415,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787415758
4665c617-64f6-4eab-8288-6dc669bca77c-39,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787475,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787475750
4665c617-64f6-4eab-8288-6dc669bca77c-39,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362787475,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362787475750
