id,device,timestamp,ACCURACY,Device_ID,EVENT_TIMESTAMP,SENSOR_MAXIMUM_RANGE,SENSOR_NAME,SENSOR_POWER,SENSOR_RESOLUTION,SENSOR_TYPE,SENSOR_VENDOR,SENSOR_VERSION,X,Y,Z
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274235697000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.8308412,4.0588636,9.030291
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274449107000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.8308412,4.0588636,8.880466
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274484141000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.7627395,4.1269655,8.580819
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274519877000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.7218784,4.2495484,8.539958
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274556254000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.8308412,4.167826,9.030291
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274593394000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.87170225,4.0861044,9.112013
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274630412000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.8036005,4.0588636,8.771504
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274666483000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.61291564,3.8954194,8.880466
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274701609000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.6810174,4.0180025,8.771504
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274735758000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.87170225,4.167826,8.989429
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274771189000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,1.0215261,3.8954194,9.765789
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274812632000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,1.1032481,3.9771416,9.833891
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274846232000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.6810174,4.3585114,8.117727
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274884501000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.53119355,3.8681788,7.504812
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274918986000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.4903325,3.7864566,8.417375
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274954051000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.61291564,3.9362805,8.962189
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27274995707000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.8036005,3.9362805,9.261836
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27275044077000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,0.9125633,3.8681788,9.384419
fd559108-c669-4c7a-b571-7b779538abc5-69,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362379134,3,cce1d58557e202ec,27275078654000,39.24,BMA150 3-axis Accelerometer,0.2,0.15328126,1,Bosh,1,1.0623871,3.8681788,9.343558
